year,state,party,perc_votes
2006,Montana,REPUBLICAN,0.5906814316858852
2007,Montana,REPUBLICAN,0.5906814316858852
2008,Montana,REPUBLICAN,0.495324509445858
2009,Montana,REPUBLICAN,0.495324509445858
2010,Montana,REPUBLICAN,0.495324509445858
2011,Montana,REPUBLICAN,0.495324509445858
2012,Montana,REPUBLICAN,0.553515353849205
2013,Montana,REPUBLICAN,0.553515353849205
2014,Montana,REPUBLICAN,0.553515353849205
2015,Montana,REPUBLICAN,0.553515353849205
2016,Montana,REPUBLICAN,0.5646619186857719
2017,Montana,REPUBLICAN,0.5646619186857719
2018,Montana,REPUBLICAN,0.5646619186857719
2019,Montana,REPUBLICAN,0.5646619186857719
2020,Montana,REPUBLICAN,0.5691846924002028
1976,Nebraska,REPUBLICAN,0.5920388826351588
1977,Nebraska,REPUBLICAN,0.5920388826351588
1978,Nebraska,REPUBLICAN,0.5920388826351588
1979,Nebraska,REPUBLICAN,0.5920388826351588
1980,Nebraska,REPUBLICAN,0.6555001852914548
1981,Nebraska,REPUBLICAN,0.6555001852914548
1982,Nebraska,REPUBLICAN,0.6555001852914548
1983,Nebraska,REPUBLICAN,0.6555001852914548
1984,Nebraska,REPUBLICAN,0.7055069085555675
1985,Nebraska,REPUBLICAN,0.7055069085555675
1986,Nebraska,REPUBLICAN,0.7055069085555675
1987,Nebraska,REPUBLICAN,0.7055069085555675
1988,Nebraska,REPUBLICAN,0.6016282040621953
1989,Nebraska,REPUBLICAN,0.6016282040621953
1990,Nebraska,REPUBLICAN,0.6016282040621953
1991,Nebraska,REPUBLICAN,0.6016282040621953
1992,Nebraska,REPUBLICAN,0.4659750035929962
1993,Nebraska,REPUBLICAN,0.4659750035929962
1994,Nebraska,REPUBLICAN,0.4659750035929962
1995,Nebraska,REPUBLICAN,0.4659750035929962
1996,Nebraska,REPUBLICAN,0.5365499730593506
1997,Nebraska,REPUBLICAN,0.5365499730593506
1998,Nebraska,REPUBLICAN,0.5365499730593506
1999,Nebraska,REPUBLICAN,0.5365499730593506
2000,Nebraska,REPUBLICAN,0.6224536203460738
2001,Nebraska,REPUBLICAN,0.6224536203460738
2002,Nebraska,REPUBLICAN,0.6224536203460738
2003,Nebraska,REPUBLICAN,0.6224536203460738
2004,Nebraska,REPUBLICAN,0.6589864119889075
2005,Nebraska,REPUBLICAN,0.6589864119889075
2006,Nebraska,REPUBLICAN,0.6589864119889075
2007,Nebraska,REPUBLICAN,0.6589864119889075
2008,Nebraska,REPUBLICAN,0.5653185336979162
2009,Nebraska,REPUBLICAN,0.5653185336979162
2010,Nebraska,REPUBLICAN,0.5653185336979162
2011,Nebraska,REPUBLICAN,0.5653185336979162
2012,Nebraska,REPUBLICAN,0.5980319217904804
2013,Nebraska,REPUBLICAN,0.5980319217904804
2014,Nebraska,REPUBLICAN,0.5980319217904804
2015,Nebraska,REPUBLICAN,0.5980319217904804
2016,Nebraska,REPUBLICAN,0.5874735112712576
2017,Nebraska,REPUBLICAN,0.5874735112712576
2018,Nebraska,REPUBLICAN,0.5874735112712576
2019,Nebraska,REPUBLICAN,0.5874735112712576
2020,Nebraska,REPUBLICAN,0.5822416333205421
1976,Nevada,REPUBLICAN,0.5016594345043492
1977,Nevada,REPUBLICAN,0.5016594345043492
1978,Nevada,REPUBLICAN,0.5016594345043492
1979,Nevada,REPUBLICAN,0.5016594345043492
1980,Nevada,REPUBLICAN,0.6361185430789685
1981,Nevada,REPUBLICAN,0.6361185430789685
1982,Nevada,REPUBLICAN,0.6361185430789685
1983,Nevada,REPUBLICAN,0.6361185430789685
1984,Nevada,REPUBLICAN,0.6676995016217631
1985,Nevada,REPUBLICAN,0.6676995016217631
1986,Nevada,REPUBLICAN,0.6676995016217631
1987,Nevada,REPUBLICAN,0.6676995016217631
1988,Nevada,REPUBLICAN,0.6004668743606706
1989,Nevada,REPUBLICAN,0.6004668743606706
1990,Nevada,REPUBLICAN,0.6004668743606706
1991,Nevada,REPUBLICAN,0.6004668743606706
1992,Nevada,DEMOCRAT,0.3735754999822246
1993,Nevada,DEMOCRAT,0.3735754999822246
1994,Nevada,DEMOCRAT,0.3735754999822246
1995,Nevada,DEMOCRAT,0.3735754999822246
1996,Nevada,DEMOCRAT,0.43933496884416484
1997,Nevada,DEMOCRAT,0.43933496884416484
1998,Nevada,DEMOCRAT,0.43933496884416484
1999,Nevada,DEMOCRAT,0.43933496884416484
2000,Nevada,REPUBLICAN,0.49485089247915254
2001,Nevada,REPUBLICAN,0.49485089247915254
2002,Nevada,REPUBLICAN,0.49485089247915254
2003,Nevada,REPUBLICAN,0.49485089247915254
2004,Nevada,REPUBLICAN,0.504696915453111
2005,Nevada,REPUBLICAN,0.504696915453111
2006,Nevada,REPUBLICAN,0.504696915453111
2007,Nevada,REPUBLICAN,0.504696915453111
2008,Nevada,DEMOCRAT,0.551466759243187
2009,Nevada,DEMOCRAT,0.551466759243187
2010,Nevada,DEMOCRAT,0.551466759243187
2011,Nevada,DEMOCRAT,0.551466759243187
2012,Nevada,DEMOCRAT,0.5235624947040056
2013,Nevada,DEMOCRAT,0.5235624947040056
2014,Nevada,DEMOCRAT,0.5235624947040056
2015,Nevada,DEMOCRAT,0.5235624947040056
2016,Nevada,DEMOCRAT,0.4791782367811904
2017,Nevada,DEMOCRAT,0.4791782367811904
2018,Nevada,DEMOCRAT,0.4791782367811904
2019,Nevada,DEMOCRAT,0.4791782367811904
2020,Nevada,DEMOCRAT,0.5005678195728402
1976,New Hampshire,REPUBLICAN,0.5474682519352113
1977,New Hampshire,REPUBLICAN,0.5474682519352113
1978,New Hampshire,REPUBLICAN,0.5474682519352113
1979,New Hampshire,REPUBLICAN,0.5474682519352113
1980,New Hampshire,REPUBLICAN,0.5773718065574625
1981,New Hampshire,REPUBLICAN,0.5773718065574625
1982,New Hampshire,REPUBLICAN,0.5773718065574625
1983,New Hampshire,REPUBLICAN,0.5773718065574625
1984,New Hampshire,REPUBLICAN,0.6866733178367926
1985,New Hampshire,REPUBLICAN,0.6866733178367926
1986,New Hampshire,REPUBLICAN,0.6866733178367926
1987,New Hampshire,REPUBLICAN,0.6866733178367926
1988,New Hampshire,REPUBLICAN,0.624908717607236
1989,New Hampshire,REPUBLICAN,0.624908717607236
1990,New Hampshire,REPUBLICAN,0.624908717607236
1991,New Hampshire,REPUBLICAN,0.624908717607236
1992,New Hampshire,DEMOCRAT,0.38911795091350765
1993,New Hampshire,DEMOCRAT,0.38911795091350765
1994,New Hampshire,DEMOCRAT,0.38911795091350765
1995,New Hampshire,DEMOCRAT,0.38911795091350765
1996,New Hampshire,DEMOCRAT,0.4957057734944029
1997,New Hampshire,DEMOCRAT,0.4957057734944029
1998,New Hampshire,DEMOCRAT,0.4957057734944029
1999,New Hampshire,DEMOCRAT,0.4957057734944029
2000,New Hampshire,REPUBLICAN,0.4807030985044308
2001,New Hampshire,REPUBLICAN,0.4807030985044308
2002,New Hampshire,REPUBLICAN,0.4807030985044308
2003,New Hampshire,REPUBLICAN,0.4807030985044308
2004,New Hampshire,DEMOCRAT,0.5020161082255741
2005,New Hampshire,DEMOCRAT,0.5020161082255741
2006,New Hampshire,DEMOCRAT,0.5020161082255741
2007,New Hampshire,DEMOCRAT,0.5020161082255741
2008,New Hampshire,DEMOCRAT,0.5412689705613458
2009,New Hampshire,DEMOCRAT,0.5412689705613458
2010,New Hampshire,DEMOCRAT,0.5412689705613458
2011,New Hampshire,DEMOCRAT,0.5412689705613458
2012,New Hampshire,DEMOCRAT,0.5197968415071198
2013,New Hampshire,DEMOCRAT,0.5197968415071198
2014,New Hampshire,DEMOCRAT,0.5197968415071198
2015,New Hampshire,DEMOCRAT,0.5197968415071198
2016,New Hampshire,DEMOCRAT,0.46826262669690555
2017,New Hampshire,DEMOCRAT,0.46826262669690555
2018,New Hampshire,DEMOCRAT,0.46826262669690555
2019,New Hampshire,DEMOCRAT,0.46826262669690555
2020,New Hampshire,DEMOCRAT,0.5270782528014766
1976,New Jersey,REPUBLICAN,0.500813409446165
1977,New Jersey,REPUBLICAN,0.500813409446165
1978,New Jersey,REPUBLICAN,0.500813409446165
1979,New Jersey,REPUBLICAN,0.500813409446165
1980,New Jersey,REPUBLICAN,0.5197315978443948
1981,New Jersey,REPUBLICAN,0.5197315978443948
1982,New Jersey,REPUBLICAN,0.5197315978443948
1983,New Jersey,REPUBLICAN,0.5197315978443948
1984,New Jersey,REPUBLICAN,0.6009051973018109
1985,New Jersey,REPUBLICAN,0.6009051973018109
1986,New Jersey,REPUBLICAN,0.6009051973018109
1987,New Jersey,REPUBLICAN,0.6009051973018109
1988,New Jersey,REPUBLICAN,0.5624010946094485
1989,New Jersey,REPUBLICAN,0.5624010946094485
1990,New Jersey,REPUBLICAN,0.5624010946094485
1991,New Jersey,REPUBLICAN,0.5624010946094485
1992,New Jersey,DEMOCRAT,0.42953959123027496
1993,New Jersey,DEMOCRAT,0.42953959123027496
1994,New Jersey,DEMOCRAT,0.42953959123027496
1995,New Jersey,DEMOCRAT,0.42953959123027496
1996,New Jersey,DEMOCRAT,0.5372029286118354
1997,New Jersey,DEMOCRAT,0.5372029286118354
1998,New Jersey,DEMOCRAT,0.5372029286118354
1999,New Jersey,DEMOCRAT,0.5372029286118354
2000,New Jersey,DEMOCRAT,0.5612560891508792
2001,New Jersey,DEMOCRAT,0.5612560891508792
2002,New Jersey,DEMOCRAT,0.5612560891508792
2003,New Jersey,DEMOCRAT,0.5612560891508792
2004,New Jersey,DEMOCRAT,0.5292340900702746
2005,New Jersey,DEMOCRAT,0.5292340900702746
2006,New Jersey,DEMOCRAT,0.5292340900702746
2007,New Jersey,DEMOCRAT,0.5292340900702746
2008,New Jersey,DEMOCRAT,0.5727213715188599
2009,New Jersey,DEMOCRAT,0.5727213715188599
2010,New Jersey,DEMOCRAT,0.5727213715188599
2011,New Jersey,DEMOCRAT,0.5727213715188599
2012,New Jersey,DEMOCRAT,0.5834235491063761
2013,New Jersey,DEMOCRAT,0.5834235491063761
2014,New Jersey,DEMOCRAT,0.5834235491063761
2015,New Jersey,DEMOCRAT,0.5834235491063761
2016,New Jersey,DEMOCRAT,0.554530844496942
2017,New Jersey,DEMOCRAT,0.554530844496942
2018,New Jersey,DEMOCRAT,0.554530844496942
2019,New Jersey,DEMOCRAT,0.554530844496942
2020,New Jersey,DEMOCRAT,0.5733419675281298
1976,New Mexico,REPUBLICAN,0.5074989798122854
1977,New Mexico,REPUBLICAN,0.5074989798122854
1978,New Mexico,REPUBLICAN,0.5074989798122854
1979,New Mexico,REPUBLICAN,0.5074989798122854
1980,New Mexico,REPUBLICAN,0.5496682645204137
1981,New Mexico,REPUBLICAN,0.5496682645204137
1982,New Mexico,REPUBLICAN,0.5496682645204137
1983,New Mexico,REPUBLICAN,0.5496682645204137
1984,New Mexico,REPUBLICAN,0.5970429846219647
1985,New Mexico,REPUBLICAN,0.5970429846219647
1986,New Mexico,REPUBLICAN,0.5970429846219647
1987,New Mexico,REPUBLICAN,0.5970429846219647
1988,New Mexico,REPUBLICAN,0.5185035300074609
1989,New Mexico,REPUBLICAN,0.5185035300074609
1990,New Mexico,REPUBLICAN,0.5185035300074609
1991,New Mexico,REPUBLICAN,0.5185035300074609
1992,New Mexico,DEMOCRAT,0.45898846638338486
1993,New Mexico,DEMOCRAT,0.45898846638338486
1994,New Mexico,DEMOCRAT,0.45898846638338486
1995,New Mexico,DEMOCRAT,0.45898846638338486
1996,New Mexico,DEMOCRAT,0.4918320223567367
1997,New Mexico,DEMOCRAT,0.4918320223567367
1998,New Mexico,DEMOCRAT,0.4918320223567367
1999,New Mexico,DEMOCRAT,0.4918320223567367
2000,New Mexico,DEMOCRAT,0.47908554054844177
2001,New Mexico,DEMOCRAT,0.47908554054844177
2002,New Mexico,DEMOCRAT,0.47908554054844177
2003,New Mexico,DEMOCRAT,0.47908554054844177
2004,New Mexico,REPUBLICAN,0.498384247604138
2005,New Mexico,REPUBLICAN,0.498384247604138
2006,New Mexico,REPUBLICAN,0.498384247604138
2007,New Mexico,REPUBLICAN,0.498384247604138
2008,New Mexico,DEMOCRAT,0.5690748026279335
2009,New Mexico,DEMOCRAT,0.5690748026279335
2010,New Mexico,DEMOCRAT,0.5690748026279335
2011,New Mexico,DEMOCRAT,0.5690748026279335
2012,New Mexico,DEMOCRAT,0.5299276052046678
2013,New Mexico,DEMOCRAT,0.5299276052046678
2014,New Mexico,DEMOCRAT,0.5299276052046678
2015,New Mexico,DEMOCRAT,0.5299276052046678
2016,New Mexico,DEMOCRAT,0.48255647178634103
2017,New Mexico,DEMOCRAT,0.48255647178634103
2018,New Mexico,DEMOCRAT,0.48255647178634103
2019,New Mexico,DEMOCRAT,0.48255647178634103
2020,New Mexico,DEMOCRAT,0.5428928584957222
1976,New York,DEMOCRAT,0.4865083285569763
1977,New York,DEMOCRAT,0.4865083285569763
1978,New York,DEMOCRAT,0.4865083285569763
1979,New York,DEMOCRAT,0.4865083285569763
1980,New York,DEMOCRAT,0.4399209991552669
1981,New York,DEMOCRAT,0.4399209991552669
1982,New York,DEMOCRAT,0.4399209991552669
1983,New York,DEMOCRAT,0.4399209991552669
1984,New York,REPUBLICAN,0.49605013214707033
1985,New York,REPUBLICAN,0.49605013214707033
1986,New York,REPUBLICAN,0.49605013214707033
1987,New York,REPUBLICAN,0.49605013214707033
1988,New York,DEMOCRAT,0.5019497561012464
1989,New York,DEMOCRAT,0.5019497561012464
1990,New York,DEMOCRAT,0.5019497561012464
1991,New York,DEMOCRAT,0.5019497561012464
1992,New York,DEMOCRAT,0.4727630691275797
1993,New York,DEMOCRAT,0.4727630691275797
1994,New York,DEMOCRAT,0.4727630691275797
1995,New York,DEMOCRAT,0.4727630691275797
1996,New York,DEMOCRAT,0.5667893903041855
1997,New York,DEMOCRAT,0.5667893903041855
1998,New York,DEMOCRAT,0.5667893903041855
1999,New York,DEMOCRAT,0.5667893903041855
2000,New York,DEMOCRAT,0.566392704823055
2001,New York,DEMOCRAT,0.566392704823055
2002,New York,DEMOCRAT,0.566392704823055
2003,New York,DEMOCRAT,0.566392704823055
2004,New York,DEMOCRAT,0.5613058126549186
2005,New York,DEMOCRAT,0.5613058126549186
2006,New York,DEMOCRAT,0.5613058126549186
2007,New York,DEMOCRAT,0.5613058126549186
2008,New York,DEMOCRAT,0.6015696154075767
2009,New York,DEMOCRAT,0.6015696154075767
2010,New York,DEMOCRAT,0.6015696154075767
2011,New York,DEMOCRAT,0.6015696154075767
2012,New York,DEMOCRAT,0.6076098417487449
2013,New York,DEMOCRAT,0.6076098417487449
2014,New York,DEMOCRAT,0.6076098417487449
2015,New York,DEMOCRAT,0.6076098417487449
2016,New York,DEMOCRAT,0.5613614259984896
2017,New York,DEMOCRAT,0.5613614259984896
2018,New York,DEMOCRAT,0.5613614259984896
2019,New York,DEMOCRAT,0.5613614259984896
2020,New York,DEMOCRAT,0.603918845358349
1976,North Carolina,DEMOCRAT,0.5526918671248569
1977,North Carolina,DEMOCRAT,0.5526918671248569
1978,North Carolina,DEMOCRAT,0.5526918671248569
1979,North Carolina,DEMOCRAT,0.5526918671248569
1980,North Carolina,REPUBLICAN,0.49304975178262267
1981,North Carolina,REPUBLICAN,0.49304975178262267
1982,North Carolina,REPUBLICAN,0.49304975178262267
1983,North Carolina,REPUBLICAN,0.49304975178262267
1984,North Carolina,REPUBLICAN,0.6189689895148437
1985,North Carolina,REPUBLICAN,0.6189689895148437
1986,North Carolina,REPUBLICAN,0.6189689895148437
1987,North Carolina,REPUBLICAN,0.6189689895148437
1988,North Carolina,REPUBLICAN,0.5796829977932598
1989,North Carolina,REPUBLICAN,0.5796829977932598
1990,North Carolina,REPUBLICAN,0.5796829977932598
1991,North Carolina,REPUBLICAN,0.5796829977932598
1992,North Carolina,REPUBLICAN,0.43442808737102057
1993,North Carolina,REPUBLICAN,0.43442808737102057
1994,North Carolina,REPUBLICAN,0.43442808737102057
1995,North Carolina,REPUBLICAN,0.43442808737102057
1996,North Carolina,REPUBLICAN,0.4872941366328975
1997,North Carolina,REPUBLICAN,0.4872941366328975
1998,North Carolina,REPUBLICAN,0.4872941366328975
1999,North Carolina,REPUBLICAN,0.4872941366328975
2000,North Carolina,REPUBLICAN,0.559577562873286
2001,North Carolina,REPUBLICAN,0.559577562873286
2002,North Carolina,REPUBLICAN,0.559577562873286
2003,North Carolina,REPUBLICAN,0.559577562873286
2004,North Carolina,REPUBLICAN,0.5601719733779452
2005,North Carolina,REPUBLICAN,0.5601719733779452
2006,North Carolina,REPUBLICAN,0.5601719733779452
2007,North Carolina,REPUBLICAN,0.5601719733779452
2008,North Carolina,DEMOCRAT,0.49703666399047425
2009,North Carolina,DEMOCRAT,0.49703666399047425
2010,North Carolina,DEMOCRAT,0.49703666399047425
2011,North Carolina,DEMOCRAT,0.49703666399047425
2012,North Carolina,REPUBLICAN,0.5039306410214295
2013,North Carolina,REPUBLICAN,0.5039306410214295
2014,North Carolina,REPUBLICAN,0.5039306410214295
2015,North Carolina,REPUBLICAN,0.5039306410214295
2016,North Carolina,REPUBLICAN,0.49828094696180414
2017,North Carolina,REPUBLICAN,0.49828094696180414
2018,North Carolina,REPUBLICAN,0.49828094696180414
2019,North Carolina,REPUBLICAN,0.49828094696180414
2020,North Carolina,REPUBLICAN,0.4993433248829551
1976,North Dakota,REPUBLICAN,0.5169184818437446
1977,North Dakota,REPUBLICAN,0.5169184818437446
1978,North Dakota,REPUBLICAN,0.5169184818437446
1979,North Dakota,REPUBLICAN,0.5169184818437446
1980,North Dakota,REPUBLICAN,0.6432570836488264
1981,North Dakota,REPUBLICAN,0.6432570836488264
1982,North Dakota,REPUBLICAN,0.6432570836488264
1983,North Dakota,REPUBLICAN,0.6432570836488264
1984,North Dakota,REPUBLICAN,0.6483974224118121
1985,North Dakota,REPUBLICAN,0.6483974224118121
1986,North Dakota,REPUBLICAN,0.6483974224118121
1987,North Dakota,REPUBLICAN,0.6483974224118121
1988,North Dakota,REPUBLICAN,0.5603123181312045
1989,North Dakota,REPUBLICAN,0.5603123181312045
1990,North Dakota,REPUBLICAN,0.5603123181312045
1991,North Dakota,REPUBLICAN,0.5603123181312045
1992,North Dakota,REPUBLICAN,0.442159716745691
1993,North Dakota,REPUBLICAN,0.442159716745691
1994,North Dakota,REPUBLICAN,0.442159716745691
1995,North Dakota,REPUBLICAN,0.442159716745691
1996,North Dakota,REPUBLICAN,0.46938752528987165
1997,North Dakota,REPUBLICAN,0.46938752528987165
1998,North Dakota,REPUBLICAN,0.46938752528987165
1999,North Dakota,REPUBLICAN,0.46938752528987165
2000,North Dakota,REPUBLICAN,0.6065858126110124
2001,North Dakota,REPUBLICAN,0.6065858126110124
2002,North Dakota,REPUBLICAN,0.6065858126110124
2003,North Dakota,REPUBLICAN,0.6065858126110124
2004,North Dakota,REPUBLICAN,0.6286133496146507
2005,North Dakota,REPUBLICAN,0.6286133496146507
2006,North Dakota,REPUBLICAN,0.6286133496146507
2007,North Dakota,REPUBLICAN,0.6286133496146507
2008,North Dakota,REPUBLICAN,0.5325010027761898
2009,North Dakota,REPUBLICAN,0.5325010027761898
2010,North Dakota,REPUBLICAN,0.5325010027761898
2011,North Dakota,REPUBLICAN,0.5325010027761898
2012,North Dakota,REPUBLICAN,0.5831568255855722
2013,North Dakota,REPUBLICAN,0.5831568255855722
2014,North Dakota,REPUBLICAN,0.5831568255855722
2015,North Dakota,REPUBLICAN,0.5831568255855722
2016,North Dakota,REPUBLICAN,0.629556278313393
2017,North Dakota,REPUBLICAN,0.629556278313393
2018,North Dakota,REPUBLICAN,0.629556278313393
2019,North Dakota,REPUBLICAN,0.629556278313393
2020,North Dakota,REPUBLICAN,0.6511404873707572
1976,Ohio,DEMOCRAT,0.4889868666639419
1977,Ohio,DEMOCRAT,0.4889868666639419
1978,Ohio,DEMOCRAT,0.4889868666639419
1979,Ohio,DEMOCRAT,0.4889868666639419
1980,Ohio,REPUBLICAN,0.5151142624561613
1981,Ohio,REPUBLICAN,0.5151142624561613
1982,Ohio,REPUBLICAN,0.5151142624561613
1983,Ohio,REPUBLICAN,0.5151142624561613
1984,Ohio,REPUBLICAN,0.5869868634861014
1985,Ohio,REPUBLICAN,0.5869868634861014
1986,Ohio,REPUBLICAN,0.5869868634861014
1987,Ohio,REPUBLICAN,0.5869868634861014
1988,Ohio,REPUBLICAN,0.5500175824525985
1989,Ohio,REPUBLICAN,0.5500175824525985
1990,Ohio,REPUBLICAN,0.5500175824525985
1991,Ohio,REPUBLICAN,0.5500175824525985
1992,Ohio,DEMOCRAT,0.4018128056321024
1993,Ohio,DEMOCRAT,0.4018128056321024
1994,Ohio,DEMOCRAT,0.4018128056321024
1995,Ohio,DEMOCRAT,0.4018128056321024
1996,Ohio,DEMOCRAT,0.4737574744720069
1997,Ohio,DEMOCRAT,0.4737574744720069
1998,Ohio,DEMOCRAT,0.4737574744720069
1999,Ohio,DEMOCRAT,0.4737574744720069
2000,Ohio,REPUBLICAN,0.4998647383516539
2001,Ohio,REPUBLICAN,0.4998647383516539
2002,Ohio,REPUBLICAN,0.4998647383516539
2003,Ohio,REPUBLICAN,0.4998647383516539
2004,Ohio,REPUBLICAN,0.508140243355296
2005,Ohio,REPUBLICAN,0.508140243355296
2006,Ohio,REPUBLICAN,0.508140243355296
2007,Ohio,REPUBLICAN,0.508140243355296
2008,Ohio,DEMOCRAT,0.5150427006052537
2009,Ohio,DEMOCRAT,0.5150427006052537
2010,Ohio,DEMOCRAT,0.5150427006052537
2011,Ohio,DEMOCRAT,0.5150427006052537
2012,Ohio,DEMOCRAT,0.5066674765831987
2013,Ohio,DEMOCRAT,0.5066674765831987
2014,Ohio,DEMOCRAT,0.5066674765831987
2015,Ohio,DEMOCRAT,0.5066674765831987
2016,Ohio,REPUBLICAN,0.5168765067578619
2017,Ohio,REPUBLICAN,0.5168765067578619
2018,Ohio,REPUBLICAN,0.5168765067578619
2019,Ohio,REPUBLICAN,0.5168765067578619
2020,Ohio,REPUBLICAN,0.5327130010087464
1976,Oklahoma,REPUBLICAN,0.4996177618514426
1977,Oklahoma,REPUBLICAN,0.4996177618514426
1978,Oklahoma,REPUBLICAN,0.4996177618514426
1979,Oklahoma,REPUBLICAN,0.4996177618514426
1980,Oklahoma,REPUBLICAN,0.6049970949145348
1981,Oklahoma,REPUBLICAN,0.6049970949145348
1982,Oklahoma,REPUBLICAN,0.6049970949145348
1983,Oklahoma,REPUBLICAN,0.6049970949145348
1984,Oklahoma,REPUBLICAN,0.6861085184394701
1985,Oklahoma,REPUBLICAN,0.6861085184394701
1986,Oklahoma,REPUBLICAN,0.6861085184394701
1987,Oklahoma,REPUBLICAN,0.6861085184394701
1988,Oklahoma,REPUBLICAN,0.5792879125833877
1989,Oklahoma,REPUBLICAN,0.5792879125833877
1990,Oklahoma,REPUBLICAN,0.5792879125833877
1991,Oklahoma,REPUBLICAN,0.5792879125833877
1992,Oklahoma,REPUBLICAN,0.4264574832830945
1993,Oklahoma,REPUBLICAN,0.4264574832830945
1994,Oklahoma,REPUBLICAN,0.4264574832830945
1995,Oklahoma,REPUBLICAN,0.4264574832830945
1996,Oklahoma,REPUBLICAN,0.48256296236139
1997,Oklahoma,REPUBLICAN,0.48256296236139
1998,Oklahoma,REPUBLICAN,0.48256296236139
1999,Oklahoma,REPUBLICAN,0.48256296236139
2000,Oklahoma,REPUBLICAN,0.603078521084823
2001,Oklahoma,REPUBLICAN,0.603078521084823
2002,Oklahoma,REPUBLICAN,0.603078521084823
2003,Oklahoma,REPUBLICAN,0.603078521084823
2004,Oklahoma,REPUBLICAN,0.6557040166475606
2005,Oklahoma,REPUBLICAN,0.6557040166475606
2006,Oklahoma,REPUBLICAN,0.6557040166475606
2007,Oklahoma,REPUBLICAN,0.6557040166475606
2008,Oklahoma,REPUBLICAN,0.656450811226935
2009,Oklahoma,REPUBLICAN,0.656450811226935
2010,Oklahoma,REPUBLICAN,0.656450811226935
2011,Oklahoma,REPUBLICAN,0.656450811226935
2012,Oklahoma,REPUBLICAN,0.6677231974301656
2013,Oklahoma,REPUBLICAN,0.6677231974301656
2014,Oklahoma,REPUBLICAN,0.6677231974301656
2015,Oklahoma,REPUBLICAN,0.6677231974301656
2016,Oklahoma,REPUBLICAN,0.6532286481962736
2017,Oklahoma,REPUBLICAN,0.6532286481962736
2018,Oklahoma,REPUBLICAN,0.6532286481962736
2019,Oklahoma,REPUBLICAN,0.6532286481962736
2020,Oklahoma,REPUBLICAN,0.6537327184806295
1976,Oregon,REPUBLICAN,0.4778439346096035
1977,Oregon,REPUBLICAN,0.4778439346096035
1978,Oregon,REPUBLICAN,0.4778439346096035
1979,Oregon,REPUBLICAN,0.4778439346096035
1980,Oregon,REPUBLICAN,0.48331465676300617
1981,Oregon,REPUBLICAN,0.48331465676300617
1982,Oregon,REPUBLICAN,0.48331465676300617
1983,Oregon,REPUBLICAN,0.48331465676300617
1984,Oregon,REPUBLICAN,0.559058218856984
1985,Oregon,REPUBLICAN,0.559058218856984
1986,Oregon,REPUBLICAN,0.559058218856984
1987,Oregon,REPUBLICAN,0.559058218856984
1988,Oregon,DEMOCRAT,0.5127811239799815
1989,Oregon,DEMOCRAT,0.5127811239799815
1990,Oregon,DEMOCRAT,0.5127811239799815
1991,Oregon,DEMOCRAT,0.5127811239799815
1992,Oregon,DEMOCRAT,0.42478855058958337
1993,Oregon,DEMOCRAT,0.42478855058958337
1994,Oregon,DEMOCRAT,0.42478855058958337
1995,Oregon,DEMOCRAT,0.42478855058958337
1996,Oregon,DEMOCRAT,0.4715197131575891
1997,Oregon,DEMOCRAT,0.4715197131575891
1998,Oregon,DEMOCRAT,0.4715197131575891
1999,Oregon,DEMOCRAT,0.4715197131575891
2000,Oregon,DEMOCRAT,0.46959940024120733
2001,Oregon,DEMOCRAT,0.46959940024120733
2002,Oregon,DEMOCRAT,0.46959940024120733
2003,Oregon,DEMOCRAT,0.46959940024120733
2004,Oregon,DEMOCRAT,0.5134866304221187
2005,Oregon,DEMOCRAT,0.5134866304221187
2006,Oregon,DEMOCRAT,0.5134866304221187
2007,Oregon,DEMOCRAT,0.5134866304221187
2008,Oregon,DEMOCRAT,0.5674880625692065
2009,Oregon,DEMOCRAT,0.5674880625692065
2010,Oregon,DEMOCRAT,0.5674880625692065
2011,Oregon,DEMOCRAT,0.5674880625692065
2012,Oregon,DEMOCRAT,0.54239326652769
2013,Oregon,DEMOCRAT,0.54239326652769
2014,Oregon,DEMOCRAT,0.54239326652769
2015,Oregon,DEMOCRAT,0.54239326652769
2016,Oregon,DEMOCRAT,0.5007185200286208
2017,Oregon,DEMOCRAT,0.5007185200286208
2018,Oregon,DEMOCRAT,0.5007185200286208
2019,Oregon,DEMOCRAT,0.5007185200286208
2020,Oregon,DEMOCRAT,0.5645331865404888
1976,Pennsylvania,DEMOCRAT,0.5039567935072532
1977,Pennsylvania,DEMOCRAT,0.5039567935072532
1978,Pennsylvania,DEMOCRAT,0.5039567935072532
1979,Pennsylvania,DEMOCRAT,0.5039567935072532
1980,Pennsylvania,REPUBLICAN,0.49586134037896734
1981,Pennsylvania,REPUBLICAN,0.49586134037896734
1982,Pennsylvania,REPUBLICAN,0.49586134037896734
1983,Pennsylvania,REPUBLICAN,0.49586134037896734
1984,Pennsylvania,REPUBLICAN,0.5334106792230928
1985,Pennsylvania,REPUBLICAN,0.5334106792230928
1986,Pennsylvania,REPUBLICAN,0.5334106792230928
1987,Pennsylvania,REPUBLICAN,0.5334106792230928
1988,Pennsylvania,REPUBLICAN,0.5070457961872039
1989,Pennsylvania,REPUBLICAN,0.5070457961872039
1990,Pennsylvania,REPUBLICAN,0.5070457961872039
1991,Pennsylvania,REPUBLICAN,0.5070457961872039
1992,Pennsylvania,DEMOCRAT,0.45146164873251193
